,Laptop Models,Operating System,Screen Size,Screen Resolution,Touchscreen,Processor,Graphics Processor,RAM,Hard Drive Capacity,Weight,Webcam,Fingerprint Scanner,Price
1155,HP x360 14-ek0072TU (6Q0Y7PA) (Intel Core i5 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (12th Gen),Intel Iris Xe Graphics,16GB,512GB,1.51 Kg,Yes,Yes,"Rs. 75,990"
1156,MSI A12UMST-237IN (Intel Core i7 (12th Gen) 32GB 1TB SSD 16GB Graphics Windows 11 Pro) Laptop,Windows 11 Professional,17 inch(43.18 cm),2560 x 1600 pixels,Yes,Intel Core i7 (12th Gen),NVIDIA GeForce RTX A5500,32GB,1TB,2.49 Kg,Yes,,"Rs. 4,32,990"
1157,Lenovo E41-55 (82FJ00B2IH) ( 4GB 1TB HDD ) Laptop,DOS,14 inch(35.56 cm),1366 x 768 pixels,No,AMD Dual-Core Athlon,AMD Radeon,4GB,1TB,1.59 Kg,"Yes, 0.3 MP",,"Rs. 18,990"
1158,Samsung 2 15.6 (Intel Core i7 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),Intel Iris Xe,16GB,512GB,1.81 Kg,Yes,,"Rs. 79,990"
1159,MSI C12M-220IN (Intel Core i5 (12th Gen) 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Core i5 (12th Gen),Intel Iris Xe,8GB,512GB,1.4 Kg,Yes,,"Rs. 45,990"
1160,Asus G513RC-HN083W ( 16GB 1TB SSD 4GB Graphics Windows 11) Laptop,Windows 11 Home Basic,15.6 inch(39.62 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,NVIDIA GeForce RTX 3050,16GB,1TB,2.10 Kg,,,"Rs. 89,180"
1161,HP 14s-fq1083AU (4U582PA) (Ryzen 7 8GB 512GB SSD Windows 10) Laptop,Windows 10 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,No,AMD Octa-Core Ryzen 7,AMD Radeon,8GB,512GB,1.47 Kg,Yes,No,"Rs. 60,990"
1162,MSI B12M-226IN (Intel Core i7 (12th Gen) 16GB 512GB SSD Windows 11) Laptop,Windows 11,15.6 inch(39.62 cm),1920 x 1080 pixels,No,Intel Core i7 (12th Gen),Intel Iris Xe,16GB,512GB,1.7 Kg,Yes,,"Rs. 59,990"
1163,Dell 5410 (D560668WIN9S) ( 8GB 512GB SSD Windows 11) Laptop,Windows 11 Home Basic,14 inch(35.56 cm),1920 x 1080 pixels,Yes,Intel Core i5 (11th Gen),Intel Iris Xe,8GB,512GB,1.65 Kg,Yes,,"Rs. 76,499"
1164,HP 14-ca064dx (3T0J1UA) ( 4GB ) Laptop,Google Chrome,14 inch(35.56 cm),1920 x 1080 pixels,No,Intel Celeron Dual-Core,Intel HD 500,4GB,,1.54 Kg,Yes,,"Rs. 39,153"
